Keyword,Count
原作者,3
：,178
月,13
<,2923
br,1962
>,2923
转载,10
者,10
：,178
Xoem,2
<,2923
br,1962
>,2923
（,156
转载,10
者,10
在,554
原文,1
的,3324
基础,5
上,127
进行,32
适当,7
删减,1
与,82
补充,7
说明,13
）,161
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
2016.10,2
.,740
05,3
:,237
应,4
广大,1
知友,2
将,31
所有,28
照片,4
打码,1
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
以下,15
文章,8
可能,49
出现,19
各种,39
逻辑,5
混乱,1
，,3735
文字描述,1
不清,2
请,38
见谅,3
。,1630
码完,1
发现,29
图片,9
跟不上,1
，,3735
于是,11
就,318
自己,194
看看,22
吧,109
......,5
<,2923
br,1962
>,2923
谈一谈,1
某,19
科学高中,61
吧,109
。,1630
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
我,796
是,908
一名,27
科高,430
学子,22
，,3735
进来,12
之时,1
我,796
也,404
是,908
被,164
学长,1
学姐,1
骗,1
着,67
说,280
多,92
好多,4
好,160
进来,12
的,3324
，,3735
最初,2
的,3324
科高,430
还是,112
很,166
好,160
的,3324
，,3735
后来,23
今年,7
的,3324
高考,44
成绩,71
各种,39
爆炸,4
各种,39
牛,8
X,3
，,3735
然后,41
收,44
了,734
一堆,6
“,246
很,166
好,160
”,240
的,3324
新生,10
与,82
家长,285
，,3735
于是,11
校长,339
尚强,80
（,156
以下,15
简称,2
sq,76
）,161
开始,42
了,734
传教,2
洗脑,9
之,29
路,5
。,1630
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
以上,19
是,908
背景,5
，,3735
谈下,1
我,796
自己,194
，,3735
我,796
是,908
一名,27
曾经,16
和,278
各种,39
老师,183
关系,23
很,166
好,160
，,3735
有,434
混过,1
校内,5
各种,39
情报,2
（,156
虽然,40
真假参半,1
）,161
，,3735
大部分,22
都,373
是,908
可信,3
的,3324
，,3735
如果,78
有误,3
立刻,19
删除,3
。,1630
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
这次,9
事情,78
的,3324
起因,1
是,908
这样,107
的,3324
，,3735
sq,76
抓,43
了,734
一对,11
情侣,23
，,3735
然后,41
好像,27
就,318
在,554
家长,285
群里,23
各种,39
贬低,3
，,3735
各种,39
洗脑,9
，,3735
然后,41
女孩,20
受伤,3
男孩,12
帮,6
他,213
擦药,6
被,164
监控,27
看到,68
了,734
，,3735
女孩,20
被,164
开除,64
了,734
，,3735
男孩,12
不知,4
怎样,14
了,734
，,3735
先放,1
配图,2
<,2923
img,101
 ,2220
data,303
-,734
rawwidth,101
=,1020
"""",1537
719,2
"""",1537
 ,2220
data,303
-,734
rawheight,101
=,1020
"""",1537
1280,27
"""",1537
 ,2220
src,101
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic1,58
.,740
zhimg,188
.,740
com,240
/,1397
50,192
/,1397
8da205a9a505517f71cd78e8411318e4,2
_,327
b,328
.,740
jpg,149
"""",1537
 ,2220
class,174
=,1020
"""",1537
origin,87
_,327
image,101
 ,2220
zh,87
-,734
lightbox,87
-,734
thumb,87
"""",1537
 ,2220
width,101
=,1020
"""",1537
719,2
"""",1537
 ,2220
data,303
-,734
original,87
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic1,58
.,740
zhimg,188
.,740
com,240
/,1397
50,192
/,1397
8da205a9a505517f71cd78e8411318e4,2
_,327
r,87
.,740
jpg,149
"""",1537
>,2923
<,2923
br,1962
>,2923
<,2923
br,1962
>,2923
<,2923
img,101
 ,2220
data,303
-,734
rawwidth,101
=,1020
"""",1537
718,6
"""",1537
 ,2220
data,303
-,734
rawheight,101
=,1020
"""",1537
1280,27
"""",1537
 ,2220
src,101
=,1020
"""",1537
https,190
:,237
/,1397
/,1397
pic3,37
.,740
zhimg,188
.,740
